epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,831.176,1.1354,0.85042,1.53107,0.9668,0.95935,0.96874,0.62605,1.25461,0.69935,1.66946,0.000803876,0.000803876,0.000803876
43,851.553,1.09608,0.83513,1.51954,0.95652,0.95431,0.95411,0.60123,1.36005,0.7119,1.7781,0.000785127,0.000785127,0.000785127
44,872.211,1.11267,0.83406,1.5347,0.96904,0.93352,0.96194,0.67523,1.13579,0.64851,1.55081,0.000766226,0.000766226,0.000766226
45,893.112,1.11477,0.81368,1.52275,0.9554,0.91781,0.948,0.59674,1.3877,0.74992,1.78583,0.000747192,0.000747192,0.000747192
46,913.82,1.07248,0.76043,1.48735,0.96638,0.9289,0.95874,0.67174,1.14309,0.63283,1.51671,0.000728044,0.000728044,0.000728044
47,934.149,1.10408,0.81545,1.51206,0.98894,0.94309,0.96956,0.67655,1.15453,0.6232,1.52558,0.0007088,0.0007088,0.0007088
48,954.899,1.05733,0.76155,1.47067,0.96871,0.94642,0.96822,0.64328,1.22914,0.64444,1.59715,0.00068948,0.00068948,0.00068948
49,975.856,1.05462,0.7604,1.47231,0.96938,0.94868,0.96833,0.66918,1.11896,0.61967,1.55234,0.000670102,0.000670102,0.000670102
50,996.554,1.05354,0.75581,1.46839,0.97445,0.94098,0.95219,0.67331,1.15439,0.64597,1.53346,0.000650685,0.000650685,0.000650685
51,1017.85,1.03289,0.74349,1.45084,0.95721,0.95528,0.96598,0.67568,1.1256,0.59115,1.5218,0.00063125,0.00063125,0.00063125
52,1038.84,1.03336,0.74325,1.44776,0.96486,0.948,0.96689,0.68917,1.09977,0.63826,1.51213,0.000611815,0.000611815,0.000611815
53,1059.8,1.01396,0.73335,1.43334,0.96814,0.95528,0.96828,0.70807,1.07818,0.59049,1.45828,0.000592398,0.000592398,0.000592398
54,1080.39,1.02435,0.72207,1.43209,0.95304,0.96018,0.97031,0.6919,1.08087,0.60045,1.49767,0.00057302,0.00057302,0.00057302
55,1101.26,1.02141,0.71996,1.44087,0.96846,0.94147,0.95073,0.6575,1.21931,0.65304,1.56634,0.0005537,0.0005537,0.0005537
56,1122.2,1.02737,0.73781,1.43207,0.96051,0.95122,0.96491,0.69494,1.09331,0.59072,1.46849,0.000534456,0.000534456,0.000534456
57,1142.6,1.01903,0.73159,1.43275,0.9668,0.94077,0.96501,0.69411,1.1169,0.58978,1.48565,0.000515308,0.000515308,0.000515308
58,1163.45,1.00295,0.6962,1.42335,0.96892,0.95187,0.96429,0.67085,1.11657,0.58894,1.52357,0.000496274,0.000496274,0.000496274
59,1184.16,0.99374,0.69896,1.41264,0.9779,0.95122,0.97224,0.69619,1.07342,0.60337,1.46686,0.000477373,0.000477373,0.000477373
60,1204.69,0.97031,0.69855,1.40127,0.97419,0.95935,0.96546,0.68355,1.10035,0.5946,1.49262,0.000458624,0.000458624,0.000458624
61,1225.46,0.98345,0.69925,1.42077,0.96657,0.95528,0.96598,0.70454,1.07472,0.56457,1.46918,0.000440046,0.000440046,0.000440046
62,1246.23,0.9704,0.67175,1.39581,0.96336,0.96066,0.96559,0.71361,1.02469,0.57242,1.42676,0.000421656,0.000421656,0.000421656
63,1266.68,0.98039,0.67646,1.42544,0.96353,0.9648,0.97125,0.71649,1.02694,0.56427,1.43169,0.000403473,0.000403473,0.000403473
64,1287.92,1.0018,0.708,1.41359,0.96811,0.95122,0.96645,0.69176,1.11604,0.56395,1.47386,0.000385515,0.000385515,0.000385515
65,1308.89,0.93664,0.66827,1.37377,0.96706,0.96203,0.97395,0.73306,0.97382,0.54932,1.37557,0.000367799,0.000367799,0.000367799
66,1329.88,0.94556,0.65636,1.38235,0.96112,0.96153,0.97426,0.71866,1.02339,0.54151,1.42658,0.000350343,0.000350343,0.000350343
67,1350.49,0.96844,0.67073,1.39679,0.97503,0.9684,0.97076,0.70494,1.03708,0.55377,1.43246,0.000333165,0.000333165,0.000333165
68,1371.23,0.93051,0.65103,1.37265,0.97749,0.95122,0.9691,0.70868,1.03348,0.56362,1.43578,0.000316281,0.000316281,0.000316281
69,1391.75,0.93444,0.63254,1.38277,0.98365,0.95408,0.97245,0.6963,1.11205,0.57039,1.48138,0.000299707,0.000299707,0.000299707
70,1412.18,0.92772,0.63805,1.36631,0.97673,0.9574,0.97171,0.72531,0.99427,0.55792,1.39599,0.000283461,0.000283461,0.000283461
71,1433.03,0.91026,0.62159,1.3535,0.97492,0.96268,0.97913,0.70747,1.0757,0.54254,1.4674,0.000267558,0.000267558,0.000267558
72,1454.05,0.94003,0.66372,1.37766,0.97581,0.95935,0.97194,0.6955,1.08782,0.56065,1.46085,0.000252014,0.000252014,0.000252014
73,1474.78,0.92624,0.65187,1.36923,0.97936,0.95732,0.97838,0.71375,1.02196,0.54,1.40064,0.000236844,0.000236844,0.000236844
74,1495.83,0.90429,0.63162,1.3473,0.97719,0.95122,0.9786,0.72807,0.98161,0.52593,1.36074,0.000222063,0.000222063,0.000222063
